URI,UniqueNumber,UniqueName,Synonym1,Synonym2,TextDefinition,Source,Notes,SuperClass1,SuperClass2,SuperClass3,SuperClass4,SuperClass5,ISO15926-2Entity,Classification1,Classification2,Classification3,Classification4,,"key-1
naming","key-2
references","key-3
source","key-4
classification","key-1
entity",,"Blue
(new)","Yellow
(changed)","Green
(moved)","Red
(deprecated)",,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/316_STAINLESS_STEEL,24924,316 STAINLESS STEEL,,,<316 STAINLESS STEEL> is a <STAINLESS STEEL> that contains an addition of molybdenum that gives it improved corrosion resistance,,,STAINLESS STEEL,,,,,ClassOfCompound,MATERIAL AND MATTER,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/32ND_OF_AN_INCH,24925,32ND OF AN INCH,,,A <32ND OF AN INCH> is a <PropertyQuantification> between a <LENGTH> and a <NUMBER SPACE OF 0 TO INF>,,,PropertyQuantification,,,,,Scale,UOM (SCALE),,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/3-CYLINDER_ENGINE,24897,3-CYLINDER ENGINE,,,A <3-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 3 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/3D_COORDINATES,24952,3D COORDINATES,,,<3D COORDINATES> is a <Property> that entails the distance from a common point in three orthogonal directions,,,Property,,,,,MultidimensionalProperty,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/3D_PLANT_MODEL,24953,3D PLANT MODEL,,,A <3D PLANT MODEL> is an <InformationObject> and a <PRESENTATION> of a mathematical representation of any visible surface of a <PLANT> in three dimensions,,,InformationObject,PRESENTATION,,,,ClassOfInformationObject,DOCUMENT AND (RE)PRESENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/3IRplusUV_FLAME_DETECTING_MEASURING_ELEMENT,24954,3IR+UV FLAME DETECTING MEASURING ELEMENT,,,A <3IR+UV FLAME DETECTING MEASURING ELEMENT> is a <FLAME DETECTING MEASURING ELEMENT> and an <INSTRUMENTATION ITEM> with black body radiation compensation,,,FLAME DETECTING MEASURING ELEMENT,INSTRUMENTATION ITEM,,,,ClassOfInanimatePhysicalObject,INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4_-_20_MILLIAMPERE_DC,24969,4 - 20 MILLIAMPERE DC,,,<4 - 20 MILLIAMPERE DC> is a <Property> with a minimum of 4 mADC and a maximum of 20 mADC,,,Property,,,,,PropertyRange,PROPERTY AND STATUS,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-20_MA_SIGNAL,24972,4-20 mA SIGNAL,,,"A <4-20 mA SIGNAL> is an <ANALOGUE SIGNAL> and an <ELECTRIC SIGNAL> where 4 mADC is representing 0 percent of measurement, 20 mADC is representing 100 percent",,,ANALOGUE SIGNAL,ELECTRIC SIGNAL,INSTRUMENTATION FUNCTION,,,ClassOfInformationObject,DOCUMENT AND (RE)PRESENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-20_MA_SIGNAL_LOOP,24973,4-20 mA SIGNAL LOOP,,,A <4-20 mA SIGNAL LOOP> is an <ANALOG CURRENT LOOP> where 4 mA represents 0%  of the measurement and 20 mA for 100%,,,ANALOG CURRENT LOOP,,,,,ClassOfInanimatePhysicalObject,ELECTRICAL,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-20_MA_SIGNAL_LOOP_ELEMENT,24974,4-20 mA SIGNAL LOOP ELEMENT,,,A <4-20 mA SIGNAL LOOP ELEMENT> is an <INSTRUMENTATION ITEM> and a <CURRENT SIGNAL LOOP ELEMENT> that can be installed in a <4-20 mA SIGNAL LOOP>,,,CURRENT SIGNAL LOOP ELEMENT,,,,,ClassOfInanimatePhysicalObject,ELECTRICAL,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-CYLINDER_ENGINE,24976,4-CYLINDER ENGINE,,,A <4-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 4 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-CYLINDER_ENGINE_WITH_FIRING_ORDER_1-3-4-2,24977,4-CYLINDER ENGINE WITH FIRING ORDER 1-3-4-2,,,A <4-CYLINDER ENGINE WITH FIRING ORDER 1-3-4-2> is a <4-CYLINDER ENGINE> that is designed to have a firing order 1-3-4-2,,,4-CYLINDER ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-STROKE_ENGINE,7679,4-STROKE ENGINE,,,"A <4-STROKE ENGINE> is a <RECIPROCATING PISTON ENGINE> that uses a 4-stroke working cycle; suction, compression, explosion, expansion and exhaust, occupying 2 revolutions of the crankshaft",,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/4-STROKE_TRUNK_ENGINE,24992,4-STROKE TRUNK ENGINE,,,A <4-STROKE TRUNK ENGINE> is a <4-STROKE ENGINE> that is a diesel engine were the piston is direct coupled to the crank through the connecting rod. The connecting rod is directly connected to the piston by a piston pin. The combustion air enters the cylinder through vales on top of the cylinder,,,4-STROKE ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/5percent_RADIOGRAPHIC_TESTING,25007,5% RADIOGRAPHIC TESTING,,,<5% RADIOGRAPHIC TESTING> is <RADIOGRAPHIC TESTING> for over 5% of the material,,,RADIOGRAPHIC TESTING,,,,,ClassOfActivity,ACTIVITY OR EVENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/5-CYLINDER_ENGINE,25008,5-CYLINDER ENGINE,,,A <5-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 5 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/5-VALVE_MANIFOLD,4214,5-VALVE MANIFOLD,,,A <5-VALVE MANIFOLD> is a <MANIFOLD> that is a regulating manifold with 5 valves and 6 ports,,,MANIFOLD,,,,,ClassOfInanimatePhysicalObject,INSTRUMENTATION,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/64TH_OF_AN_INCH,25021,64TH OF AN INCH,,,A <64TH OF AN INCH> is a <PropertyQuantification> between a <LENGTH> and a <NUMBER SPACE OF 0 TO INF>,,,PropertyQuantification,,,,,Scale,UOM (SCALE),,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/6-CYLINDER_ENGINE,25016,6-CYLINDER ENGINE,,,A <6-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 6 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/6-CYLINDER_ENGINE_WITH_FIRING_ORDER_1-2-4-6-5-3,25017,6-CYLINDER ENGINE WITH FIRING ORDER 1-2-4-6-5-3,,,A <6-CYLINDER ENGINE WITH FIRING ORDER 1-2-4-6-5-3> is a <6-CYLINDER ENGINE> that is designed to have a firing order 1-2-4-6-5-3,,,6-CYLINDER ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/6-CYLINDER_ENGINE_WITH_FIRING_ORDER_1-3-5-6-4-2,25018,6-CYLINDER ENGINE WITH FIRING ORDER 1-3-5-6-4-2,,,A <6-CYLINDER ENGINE WITH FIRING ORDER 1-3-5-6-4-2> is a <6-CYLINDER ENGINE> that is designed to have a firing order 1-3-5-6-4-2,,,6-CYLINDER ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/6-CYLINDER_ENGINE_WITH_FIRING_ORDER_1-5-3-6-4-2,25019,6-CYLINDER ENGINE WITH FIRING ORDER 1-5-3-6-4-2,,,A <6-CYLINDER ENGINE WITH FIRING ORDER 1-5-3-6-4-2> is a <6-CYLINDER ENGINE> that is designed to have a firing order 1-5-3-6-4-2,,,6-CYLINDER ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/7-CYLINDER_ENGINE,25024,7-CYLINDER ENGINE,,,A <7-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 7 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/8_PT_FONT,25027,8 PT FONT,,,A <8 PT FONT> is a <FONT> with a maximum height of 8/72 inch,,,FONT,,,,,ClassOfInformationPresentation,INFORMATION AND INFORMATION CARRIER,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/8-CYLINDER_ENGINE,25028,8-CYLINDER ENGINE,,,A <8-CYLINDER ENGINE> is a <RECIPROCATING PISTON ENGINE> that has 8 cylinders,,,RECIPROCATING PISTON ENGINE,,,,,ClassOfInanimatePhysicalObject,ROTATING EQUIPMENT,,,,,,,,,,,,,,,,,,,,,
https://standards.iso.org/iso/15926/-4/reference-data-item/9_PT_FONT,25032,9 PT FONT,,,A <9 PT FONT> is a <FONT> with a maximum height of 9 /72 inch,,,FONT,,,,,ClassOfInformationPresentation,INFORMATION AND INFORMATION CARRIER,,,,,,,,,,,,,,,,,,,,,
